window,train_start,train_end,test_start,test_end,bars_test,equity_start,equity_end,return_pct,trades,profit_factor,max_drawdown,sharpe_approx,win_rate,avg_pnl,median_pnl,avg_hold_bars,long_trades,short_trades,avg_size_mult
0,2019-01-01T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,10000.0,9784.599309950838,-0.02154006900491623,18,0.6384748129073888,-0.03854718954233727,-1.3588144092061976,0.4444444444444444,-11.96670500273121,-9.483240302771701,28.27777777777778,6,12,0.75
1,2019-04-01T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,9784.599309950838,9488.849483130038,-0.03022605397034761,26,0.6724525984152118,-0.05652286222888925,-1.6426964672607003,0.38461538461538464,-11.37499333926168,-33.25468299654152,33.84615384615385,7,19,0.7853846153846153
2,2019-06-30T00:00:00+00:00,2019-12-27T00:00:00+00:00,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,9488.849483130038,11144.289174083407,0.17446158187001815,20,4.627235584428924,-0.011272343860155298,4.009488185248108,0.6,82.77198454766858,32.72518033839482,47.1,13,7,0.8101
3,2019-09-28T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,11144.289174083407,10784.265893016076,-0.03230562985610452,26,0.7326102040685873,-0.07526684799478356,-0.8629023606334554,0.34615384615384615,-13.847049271820582,-36.23477651579259,25.03846153846154,18,8,0.8483846153846154
4,2019-12-27T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,10784.265893016076,9974.728052054263,-0.07506656911028808,23,0.25675475591890284,-0.07506656911028808,-4.878336059932064,0.17391304347826086,-35.19729743312225,-51.030407619194435,27.47826086956522,16,7,0.7933913043478263
5,2020-03-26T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,9974.728052054263,9900.7338698906,-0.00741816536526263,25,0.921207190635581,-0.04837729658444623,-0.13141277957190237,0.16,-2.9597672865464677,-29.110659992896338,23.76,22,3,0.63784
6,2020-06-24T00:00:00+00:00,2020-12-21T00:00:00+00:00,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,9900.7338698906,9761.902912721478,-0.014022289558890733,18,0.6175006719076342,-0.021741064870489324,-1.5533775495336606,0.3888888888888889,-7.712830953840285,-6.41093329519242,30.72222222222222,15,3,0.48000000000000004
7,2020-09-22T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,9761.902912721478,9490.592028234032,-0.02779282757810264,22,0.638503919270081,-0.059189004229745934,-1.5155039946328441,0.3181818181818182,-12.332312931247623,-34.024226592997124,37.36363636363637,9,13,0.7111818181818182
8,2020-12-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,9490.592028234032,9292.845478230665,-0.020836060533956258,26,0.6872971066288968,-0.03147182826456074,-1.5165946033866364,0.5,-7.60563653859115,-2.600407704150877,30.03846153846154,13,13,0.6801538461538461
9,2021-03-21T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,9292.845478230665,9441.555035303794,0.016002585798020164,24,1.2519413065341756,-0.01394850192739494,0.8375561939725211,0.2916666666666667,6.1962315447138705,-13.849459778900423,33.583333333333336,14,10,0.7195
10,2021-06-19T00:00:00+00:00,2021-12-16T00:00:00+00:00,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,9441.555035303794,9449.307897386141,0.0008211424975395065,28,1.0097014963581696,-0.023818025442025048,0.08135343444957592,0.39285714285714285,0.27688793151246927,-34.41951026109858,30.75,5,23,0.6522142857142857
11,2021-09-17T00:00:00+00:00,2022-03-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9449.307897386141,9373.725893503779,-0.007998681459334134,30,0.8793226993767655,-0.023915249077737566,-0.5370811648081222,0.36666666666666664,-2.5194001294120407,-12.727176133390024,32.96666666666667,6,24,0.5871999999999999
12,2021-12-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,9373.725893503779,9276.907143771152,-0.010328737028647783,21,0.746048408923723,-0.024790030834114796,-1.0854806255519656,0.38095238095238093,-4.610416653934732,-11.950806859048033,25.19047619047619,5,16,0.5885714285714286
13,2022-03-16T00:00:00+00:00,2022-09-12T00:00:00+00:00,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,9276.907143771152,8886.382091215397,-0.04209647100089464,21,0.3515580345542,-0.04373845401183074,-3.738223134306959,0.23809523809523808,-18.596431074083586,-24.0853307213536,31.952380952380953,6,15,0.6785714285714285
14,2022-06-14T00:00:00+00:00,2022-12-11T00:00:00+00:00,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,8886.382091215397,8862.935097169735,-0.0026385309347479735,28,0.97435622703501,-0.032500755318673136,-0.052758332647368074,0.39285714285714285,-0.8373926444880192,-18.17890268520998,20.357142857142858,20,8,0.8894285714285715
15,2022-09-12T00:00:00+00:00,2023-03-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,8862.935097169735,8313.939699332164,-0.06194284306706532,26,0.41834986031722304,-0.07501304274847997,-3.510171222420185,0.3076923076923077,-21.11520760913729,-24.230602346634328,25.192307692307693,15,11,0.9162307692307693
16,2022-12-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,8313.939699332164,8000.103078082689,-0.03774824362446183,26,0.7418206253495974,-0.09683999196856263,-0.9259480821393564,0.23076923076923078,-12.070639278825896,-52.416435090488974,25.076923076923077,10,16,0.9328461538461538
17,2023-03-11T00:00:00+00:00,2023-09-07T00:00:00+00:00,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,8000.103078082689,8248.58930702231,0.031060378411920997,20,1.5580839766728434,-0.0265754134958347,1.4757057405096667,0.45,12.424311446981331,-15.655003185668924,32.35,16,4,0.8587
18,2023-06-09T00:00:00+00:00,2023-12-06T00:00:00+00:00,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,8248.58930702231,9028.778941396766,0.09458461384545513,20,2.4814486781201883,-0.01879022303520228,2.370136186215464,0.4,39.00948171872267,-22.44775524587302,34.3,17,3,0.7317999999999999
19,2023-09-07T00:00:00+00:00,2024-03-05T00:00:00+00:00,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,9028.778941396766,8620.876643093423,-0.04517801365510443,26,0.5224652348042264,-0.05401584177116869,-2.7121114387949024,0.19230769230769232,-15.688549934743907,-33.944520595141,24.307692307692307,16,10,0.7348461538461536
20,2023-12-06T00:00:00+00:00,2024-06-03T00:00:00+00:00,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,8620.876643093423,8952.9303590811,0.038517395589194425,23,1.7057532370220598,-0.028832360543044167,1.7174527964722641,0.391304347826087,14.43711808642061,-16.6659631662875,30.608695652173914,9,14,0.8082608695652174
21,2024-03-05T00:00:00+00:00,2024-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,8952.9303590811,8611.28770970393,-0.03815986896744206,28,0.651083757613547,-0.07355132401431519,-1.7033032494771188,0.32142857142857145,-12.201523192041844,-36.7204006848702,29.357142857142858,21,7,0.7614999999999998
22,2024-06-03T00:00:00+00:00,2024-11-30T00:00:00+00:00,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,8611.28770970393,8241.79748237605,-0.04290766256845735,25,0.32726941741118065,-0.04290766256845735,-4.379824960310539,0.36,-14.779609093115152,-16.672056713824574,31.2,13,12,0.7458400000000001
23,2024-09-01T00:00:00+00:00,2025-02-28T00:00:00+00:00,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,8241.79748237605,7988.165950574234,-0.03077381267183199,28,0.7372949635549263,-0.048348954734724225,-1.0939617163541242,0.21428571428571427,-9.058268992922027,-33.02925332279142,24.892857142857142,13,15,0.7428571428571429
24,2024-11-30T00:00:00+00:00,2025-05-29T00:00:00+00:00,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,7988.165950574234,7211.194708975871,-0.0972652854742595,28,0.3320892934258314,-0.10068260470547352,-4.9606459392704325,0.25,-27.74897291422724,-44.78626756842107,20.0,20,8,0.7795
25,2025-02-28T00:00:00+00:00,2025-08-27T00:00:00+00:00,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,7211.194708975871,7282.694338134617,0.009915087866057659,24,1.1171185005267565,-0.035633946220831825,0.4203025251071755,0.4166666666666667,2.9791512149477435,-19.728207465615014,31.833333333333332,9,15,0.79225
