side,entry_time,entry_price,entry_type,exit_time,exit_price,exit_reason,qty,size_mult,pnl,equity_before,equity_after,bars_held
SHORT,2021-12-26T04:00:00+00:00,49790.04,LIMIT,2021-12-26T21:00:00+00:00,50784.1731126447,TRAIL,0.06851111311660585,0.766,-73.2770046017448,9641.713547827869,9568.436543226124,17
SHORT,2022-01-08T19:00:00+00:00,40792.8398,LIMIT,2022-01-08T22:00:00+00:00,42141.83991235568,TRAIL,0.020107592542344847,0.2799999999999999,-28.37585715928986,9568.436543226124,9540.060686066834,3
SHORT,2022-01-24T16:00:00+00:00,34394.6197,LIMIT,2022-01-24T20:00:00+00:00,36568.684989085654,TRAIL,0.014752629854953694,0.33399999999999996,-32.8583520159053,9540.060686066834,9507.20233405093,4
LONG,2022-02-07T00:00:00+00:00,42176.4336,LIMIT,2022-02-08T09:00:00+00:00,43560.790104708554,TRAIL,0.0827376031789558,1.0,109.21806985037374,9507.20233405093,9616.420403901304,33
SHORT,2022-02-20T12:00:00+00:00,38573.38378,LIMIT,2022-02-21T01:00:00+00:00,39087.5560263657,TRAIL,0.055585001184805125,0.586,-31.81785249679412,9616.420403901304,9584.60255140451,13
SHORT,2022-02-21T14:00:00+00:00,38040.880302,LIMIT,2022-02-23T08:00:00+00:00,38441.88471506125,TRAIL,0.03564175021581598,0.55,-16.336983830683803,9584.60255140451,9568.265567573826,42
SHORT,2022-02-24T01:00:00+00:00,37029.382642000004,LIMIT,2022-02-24T18:00:00+00:00,36457.11130285212,TRAIL,0.03590000205342549,0.514,18.565918287886124,9568.265567573826,9586.831485861712,17
LONG,2022-03-02T15:00:00+00:00,44758.95,LIMIT,2022-03-03T15:00:00+00:00,42782.45586890925,TRAIL,0.047175967009124624,0.964,-96.34040977846847,9586.831485861712,9490.491076083244,24
SHORT,2022-03-04T23:00:00+00:00,39053.717694,LIMIT,2022-03-06T16:00:00+00:00,39284.51317843564,TRAIL,0.04060768169033839,0.694,-11.757920025119109,9490.491076083244,9478.733156058126,41
SHORT,2022-03-07T05:00:00+00:00,37997.399,LIMIT,2022-03-07T13:00:00+00:00,39114.360261994,TRAIL,0.0390491840641494,0.514,-45.874789372827365,9478.733156058126,9432.8583666853,8
SHORT,2022-03-07T20:00:00+00:00,37570.514394,LIMIT,2022-03-08T10:00:00+00:00,39152.040395112665,TRAIL,0.03095738927458099,0.514,-50.74126356037643,9432.8583666853,9382.117103124923,14
