window,test_start,test_end,bars,trades,final_equity,max_drawdown,sharpe_approx,profit_factor,win_rate,exit_time_stop,entry_limit_fills,entry_fallback_market
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,4,10174.24573519367,-0.005823859533264142,1.4473013701557038,2.848608554895453,0.5,0,4,0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,6,10102.558728056674,-0.01416953602314619,-0.9106370362470179,0.6699639161518453,0.3333333333333333,2,6,0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,8,9893.87984861426,-0.022950031913229196,-2.7542901887104376,0.2464388691425928,0.125,2,8,0
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,8,10230.81610216482,-0.021583700527687655,1.097344005888705,1.9616048403222714,0.25,2,8,0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,6,10242.658490144562,-0.013294113696165843,0.16345259581301427,1.0732445291863126,0.3333333333333333,0,6,0
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,10,10129.19533726668,-0.015369864308075076,-1.1290930550661036,0.6204719781389435,0.2,2,10,0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,5,10071.366045671792,-0.005871951584703994,-2.035115877497184,0.10310050145659101,0.4,1,5,0
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,6,10038.981040548832,-0.010373739997893483,-0.36569780712885935,0.8390375970924064,0.3333333333333333,1,6,0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,7,9904.517447259594,-0.02274082618359785,-1.7186015314180378,0.41658860325809477,0.14285714285714285,3,7,0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,12,9815.521732701698,-0.018589282102898452,-0.5644407506733444,0.7652256802695047,0.25,2,12,0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,11,9605.935959568003,-0.021352484242934566,-2.4389016376489265,0.38301597632526263,0.18181818181818182,3,11,0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,9,9630.278006879644,-0.014422904670908787,0.2602897205280013,1.1131491289793618,0.2222222222222222,4,9,0
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,6,9474.515819143515,-0.016174215077161436,-3.6587111882106016,0.02063035073855982,0.16666666666666666,1,6,0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,7,9417.158835901822,-0.009657873083359303,-1.3125583816344752,0.5019900948168585,0.42857142857142855,0,7,0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,12,9675.682250850341,-0.013254821378759107,1.4856299529307717,1.8064271938916256,0.4166666666666667,1,12,0
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,9,9494.67604939778,-0.021649509907764042,-3.1716805259425502,0.21837568889274675,0.3333333333333333,2,9,0
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,3,9708.97280535894,-0.01190835998682982,1.2816878340721232,2.8314184378399463,0.3333333333333333,1,3,0
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,3,10174.789577590082,-0.0014207856529625529,2.759707104263435,34.76861697839903,0.6666666666666666,0,3,0
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,8,10215.836440336874,-0.009792690556576611,0.3953897530942522,1.2177774103721,0.25,1,8,0
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,10,9850.96707570874,-0.03571605386979959,-4.350367448969487,0.10775269138065618,0.1,2,10,0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,6,10110.250303877685,-0.011412278028449796,1.470798099803278,2.8292556538684894,0.5,2,6,0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,14,9788.210422317261,-0.031852809958316186,-4.27049632916659,0.16980715175947053,0.07142857142857142,7,14,0
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,6,9792.074563428447,-0.007471294080953483,0.12075720603824865,1.052838909917553,0.3333333333333333,1,6,0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,7,9618.197104802133,-0.025097964464732447,-2.223500624992409,0.3083626670315149,0.14285714285714285,2,7,0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,5,9343.81964709947,-0.02852691151085618,-4.175317118988509,0.0,0.0,2,5,0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,13,9289.004645739706,-0.046543212831274605,-0.25763103581783053,0.879594689240384,0.38461538461538464,0,13,0
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,2,9225.733903245226,-0.008569580296048707,-1.9875594401987196,0.2065771667430044,0.5,0,2,0
