window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,1,0.0,-2.018049654307951,-0.006300389016108188,0.0,10000.0,9936.996109838918
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,2,0.0,-2.788158135028877,-0.009511348469187997,0.0,9936.996109838918,9842.481877101274
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,0,0.0,0.0,0.0,0.0,9842.481877101274,9842.481877101274
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,2,0.32538702033690486,-1.2846397451788596,-0.010560349724456852,0.5,9842.481877101274,9772.362569739043
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,0,0.0,0.0,0.0,0.0,9772.362569739043,9772.362569739043
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,1,0.0,-2.0147739773473616,-0.00013994902219038874,0.0,9772.362569739043,9770.994937152918
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,1,inf,2.0175807221175126,0.0,1.0,9770.994937152918,9811.06605563588
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,1,inf,2.0166438375895788,0.0,1.0,9811.06605563588,9838.052097596732
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,2,2.4384990757778753,1.108813308161737,-0.003800873171107333,0.5,9838.052097596732,9892.345377601398
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,3,1.2074280834887725,0.30652529633302306,-0.006679007352496047,0.3333333333333333,9892.345377601398,9912.602455478076
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,4,0.09254666790722077,-2.4068039086319466,-0.00973830128417108,0.5,9912.602455478076,9816.207416622701
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,2,inf,2.044146458289005,0.0,1.0,9816.207416622701,10007.30189772854
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,1,0.0,-2.0143073244222034,-0.0031615537179905395,0.0,10007.30189772854,9975.663275206722
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,2,1.522255806032385,0.581975066197934,-0.0023121323799888405,0.5,9975.663275206722,9987.75168065159
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,2,inf,2.297789102492965,0.0,1.0,9987.75168065159,10178.937816788755
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,3,7.9635225662130855,2.258847351295072,-0.0030231007549883504,0.6666666666666666,10178.937816788755,10396.974382873797
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,0,0.0,0.0,0.0,0.0,10396.974382873797,10396.974382873797
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,1,0.0,-2.0143073244222034,-0.008051523264814175,0.0,10396.974382873797,10313.262901746411
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,1,inf,2.014307324422203,0.0,1.0,10313.262901746411,10399.118696032961
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,4,0.3677804196452631,-1.7782965774524673,-0.010524036924200897,0.25,10399.118696032961,10309.891590035828
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,1,inf,2.0143073244222043,0.0,1.0,10309.891590035828,10368.076465958136
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,3,6.284272802241036,1.6830440864138227,-0.0009525945952023607,0.3333333333333333,10368.076465958136,10440.717395551235
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,inf,2.0143073244222034,0.0,1.0,10440.717395551235,10454.396012726505
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,2,0.0,-2.7453633452458774,-0.003975915474034419,0.0,10454.396012726505,10412.830217847822
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,3,0.08693903196385613,-2.5082610101942002,-0.011978990946875712,0.3333333333333333,10412.830217847822,10298.820642035396
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,4,47.233605202756294,2.7016938339159347,-0.0004543673253512015,0.75,10298.820642035396,10519.913334681643
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,0,0.0,0.0,0.0,0.0,10519.913334681643,10519.913334681643
