window,test_start,test_end,bars,trades,gross_profit,gross_loss,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end,window_return_pct
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,0,0.0,0.0,,,0.0,,10000.0,10000.0,0.0
