window,test_start,test_end,bars,trades,profit_factor,sharpe,max_drawdown,win_rate,equity_start,equity_end
0,2019-06-30T00:00:00+00:00,2019-09-28T00:00:00+00:00,2152,1,,2.0175807221175126,0.0,1.0,10000.0,10057.594352053435
1,2019-09-28T00:00:00+00:00,2019-12-27T00:00:00+00:00,2156,0,,0.0,0.0,,10057.594352053435,10057.594352053435
2,2019-12-27T00:00:00+00:00,2020-03-26T00:00:00+00:00,2153,0,,0.0,0.0,,10057.594352053435,10057.594352053435
3,2020-03-26T00:00:00+00:00,2020-06-24T00:00:00+00:00,2158,0,,0.0,0.0,,10057.594352053435,10057.594352053435
4,2020-06-24T00:00:00+00:00,2020-09-22T00:00:00+00:00,2157,0,,0.0,0.0,,10057.594352053435,10057.594352053435
5,2020-09-22T00:00:00+00:00,2020-12-21T00:00:00+00:00,2159,1,,2.0143073244222034,0.0,1.0,10057.594352053435,10058.866389643204
6,2020-12-21T00:00:00+00:00,2021-03-21T00:00:00+00:00,2153,1,0.0,-2.017112116671145,-0.005540145262320273,0.0,10058.866389643204,10003.13880867031
7,2021-03-21T00:00:00+00:00,2021-06-19T00:00:00+00:00,2155,0,,0.0,0.0,,10003.13880867031,10003.13880867031
8,2021-06-19T00:00:00+00:00,2021-09-17T00:00:00+00:00,2156,1,0.0,-2.0157082570068248,-0.007012912259009796,0.0,10003.13880867031,9932.98767389041
9,2021-09-17T00:00:00+00:00,2021-12-16T00:00:00+00:00,2158,1,0.0,-2.014773977347361,-0.006198830419143153,0.0,9932.98767389041,9871.414767744523
10,2021-12-16T00:00:00+00:00,2022-03-16T00:00:00+00:00,2160,1,0.0,-2.0138409955990952,-0.0013511080163347566,0.0,9871.414767744523,9858.077420119258
11,2022-03-16T00:00:00+00:00,2022-06-14T00:00:00+00:00,2160,2,,2.166010151392884,0.0,1.0,9858.077420119258,9920.151540344967
12,2022-06-14T00:00:00+00:00,2022-09-12T00:00:00+00:00,2160,1,0.0,-2.0138409955990952,-0.0009754128113979021,0.0,9920.151540344967,9910.475297441506
13,2022-09-12T00:00:00+00:00,2022-12-11T00:00:00+00:00,2160,1,,2.0138409955990957,0.0,1.0,9910.475297441506,9913.060817079806
14,2022-12-11T00:00:00+00:00,2023-03-11T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,9913.060817079806,10087.205500962786
15,2023-03-11T00:00:00+00:00,2023-06-09T00:00:00+00:00,2159,1,0.0,-2.0143073244222043,-0.007895486865474255,0.0,10087.205500962786,10007.562102420594
16,2023-06-09T00:00:00+00:00,2023-09-07T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,10007.562102420594,10124.348319972605
17,2023-09-07T00:00:00+00:00,2023-12-06T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,10124.348319972605,10270.928221236303
18,2023-12-06T00:00:00+00:00,2024-03-05T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,10270.928221236303,10354.312718623807
19,2024-03-05T00:00:00+00:00,2024-06-03T00:00:00+00:00,2160,2,0.0,-2.169552193510875,-0.0032941843724169084,0.0,10354.312718623807,10320.203703479
20,2024-06-03T00:00:00+00:00,2024-09-01T00:00:00+00:00,2160,0,,0.0,0.0,,10320.203703479,10320.203703479
21,2024-09-01T00:00:00+00:00,2024-11-30T00:00:00+00:00,2160,0,,0.0,0.0,,10320.203703479,10320.203703479
22,2024-11-30T00:00:00+00:00,2025-02-28T00:00:00+00:00,2160,1,,2.0138409955990952,0.0,1.0,10320.203703479,10345.384490582883
23,2025-02-28T00:00:00+00:00,2025-05-29T00:00:00+00:00,2160,2,0.0,-2.3650111662420117,-0.0023517858078052623,0.0,10345.384490582883,10321.054362161642
24,2025-05-29T00:00:00+00:00,2025-08-27T00:00:00+00:00,2160,0,,0.0,0.0,,10321.054362161642,10321.054362161642
25,2025-08-27T00:00:00+00:00,2025-11-25T00:00:00+00:00,2160,3,0.3578431203601207,-1.2524699654883467,-0.001528329720201782,0.6666666666666666,10321.054362161642,10310.922474516748
26,2025-11-25T00:00:00+00:00,2026-02-23T00:00:00+00:00,1338,1,0.0,-2.558727262096084,-0.006310220373223818,0.0,10310.922474516748,10245.858281451321
